summoner_name,played_with,won_with,played_against,lost_against,date,last_played
xLatis,0.0,0,1,1,5-2-2024 13:35,Ashe
vanDelftPepern,0.0,0,1,1,5-2-2024 13:36,Caitlyn
tkSi,0.0,0,1,1,5-2-2024 13:34,Varus
syeiramoon,0.0,0,1,1,5-2-2024 13:35,Velkoz
stomp industrie,0.0,0,1,1,5-2-2024 13:34,Pyke
rQNK,0.0,0,1,0,5-2-2024 13:35,Tryndamere
qui981,0.0,0,1,1,5-2-2024 13:35,Anivia
push the limits,0.0,0,1,1,5-2-2024 13:35,Galio
narhval12345,0.0,0,1,1,5-2-2024 13:35,Rell
nan,0.0,0,1,1,5-2-2024 13:34,Samira
nan,0.0,0,1,0,9-2-2024 11:21,Jinx
mooniecrying,0.0,0,1,0,5-2-2024 13:35,Xayah
jombot,0.0,0,1,0,9-2-2024 11:21,Neeko
jojob010,0.0,0,1,1,5-2-2024 13:35,DrMundo
d v jeg ik,0.0,0,1,1,5-2-2024 13:35,Viktor
byroby56,0.0,0,1,1,5-2-2024 13:34,Zed
aladddddddinn,0.0,0,1,0,9-2-2024 11:21,Tryndamere
ahrkiwi,0.0,0,1,0,9-2-2024 11:21,Yorick
Zevon,0.0,0,1,1,5-2-2024 13:35,Shyvana
ZZCC Kilékon,0.0,0,1,0,9-2-2024 11:21,Galio
Your Guy Seb,0.0,0,1,1,5-2-2024 13:35,KSante
Your Guy Erl,0.0,0,1,1,5-2-2024 13:35,Nunu
Your Bro Nik,0.0,0,1,1,5-2-2024 13:35,Ekko
YodraX,0.0,0,1,1,5-2-2024 13:35,Sylas
Xibit1990,0.0,0,1,0,5-2-2024 13:35,Yasuo
Xian Huan,0.0,0,1,1,5-2-2024 13:35,Draven
Xerxerse,0.0,0,1,1,5-2-2024 13:35,Blitzcrank
XAZULLA,0.0,0,1,1,5-2-2024 13:35,Swain
WorldOfFrancis,0.0,0,1,0,5-2-2024 13:36,Seraphine
Wolvemancer,0.0,0,1,1,5-2-2024 13:34,Hwei
Wigs,0.0,0,1,1,5-2-2024 13:34,Cassiopeia
Wandandala,0.0,0,1,1,5-2-2024 13:34,Sivir
VendoSanitas,0.0,0,1,1,5-2-2024 13:34,Maokai
TrooklynP,0.0,0,1,0,5-2-2024 13:35,Graves
Tronns,0.0,0,1,1,5-2-2024 13:35,Ezreal
