summoner_name,played_with,won_with,played_against,lost_against,last_played,date
Six Pack Sett,0.0,0,1,0,JarvanIV,15-6-2022 15:43
Silkywayx,0.0,0,1,0,Qiyana,0
Sheeshloid,0.0,0,1,0,Velkoz,0
Saftkornbrot,0.0,0,1,1,Graves,0
Safarisation,0.0,0,1,1,Ahri,26-5-2022 17:11
STM Knuffi,0.0,0,1,1,Janna,0
SAUCEEE GOD,0.0,0,1,1,Lucian,26-5-2022 17:11
Rypez,0.0,0,1,1,Volibear,0
RustyOKnight,0.0,0,1,0,Samira,0
RedLion12321,0.0,0,1,1,Jax,0
RampantRabbit117,0.0,0,1,1,Vi,26-5-2022 17:11
Raknell,0.0,0,1,0,Elise,15-6-2022 15:43
RAPID16,0.0,0,1,1,Camille,26-5-2022 17:11
Quedinhas,0.0,0,1,0,Taric,0
Pøwder Decimus,0.0,0,1,1,LeeSin,0
PikkuPeruna,0.0,0,1,1,XinZhao,0
Piizi,0.0,0,1,0,Diana,0
Perry vK,0.0,0,1,1,Brand,0
Perpsi,0.0,0,1,0,Malphite,0
PanDa08,0.0,0,1,0,Alistar,0
P4cM4nlol,0.0,0,1,1,Zyra,0
OE miou01,0.0,0,1,0,Trundle,15-6-2022 15:43
Nostalgia 6,0.0,0,1,1,Rakan,0
Nikoboii521,0.0,0,1,0,Ekko,0
NicolaZWeeb,0.0,0,1,0,Gwen,26-5-2022 17:11
Neirda Gog,0.0,0,1,0,MonkeyKing,0
Necromaddin,0.0,0,1,1,Gangplank,26-5-2022 17:11
Nasasini,0.0,0,1,1,Ahri,0
My Dad Is Black,0.0,0,1,0,Neeko,26-5-2022 17:11
MrFuret07,0.0,0,1,0,Malphite,0
Mollock,0.0,0,1,1,Katarina,0
Mistrae,0.0,0,1,0,Sona,0
MightyNinjaDuck,0.0,0,1,1,Poppy,0
Merguez juteuse,0.0,0,1,0,Fizz,26-5-2022 17:11
Maxx C to 3,0.0,0,1,0,Gwen,0
MaiiRon,0.0,0,1,1,Ornn,0
M4lutrIx,0.0,0,1,1,Ziggs,0
Làne Kingdom,0.0,0,1,1,Sivir,0
Lycaonsaitou,0.0,0,1,0,Nidalee,0
Lunår,0.0,0,1,1,Malphite,0
LungCapacity69HP,0.0,0,1,0,Vladimir,0
LunarLite,0.0,0,1,0,Garen,0
Lukor,0.0,0,1,0,Mordekaiser,0
Lucycolomar1406,0.0,0,1,1,Zeri,0
LombaxInPijama,0.0,0,1,1,Leblanc,26-5-2022 17:11
Ladren,0.0,0,1,1,Ezreal,0
LMT Puff,0.0,0,1,1,Gragas,26-5-2022 17:11
LE BÔ JE,0.0,0,1,1,Ashe,0
Kuchiyose,0.0,0,1,0,Nidalee,0
Korlal Le Bon,0.0,0,1,1,Khazix,0
KiruCoaching,0.0,0,1,1,JarvanIV,0
Kingich,0.0,0,1,0,Lux,0
Kachanti,0.0,0,1,0,Rammus,0
Je suis Denis,0.0,0,1,0,Veigar,0
ImMonstaGoo,0.0,0,1,1,Sylas,0
IchigoBestWaifu,0.0,0,1,1,Brand,0
Icesterz,0.0,0,1,0,Syndra,0
IWinter Schnee,0.0,0,1,1,Zac,26-5-2022 17:11
ITSHunt3r,0.0,0,1,0,Bard,0
IMadMaddy,0.0,0,1,1,Shyvana,0
Hundsrueck,0.0,0,1,0,Garen,0
Hi lm Bot,0.0,0,1,0,Nami,15-6-2022 15:43
Hell 2 U,0.0,0,1,0,Malphite,0
Hasboullah,0.0,0,1,1,Lulu,26-5-2022 17:11
Hanspeteralfons,0.0,0,1,1,Neeko,0
Hamako,0.0,0,1,0,Olaf,0
HIHIHIHIHlHIHIHI,0.0,0,1,0,Diana,15-6-2022 15:43
GreeDitch EAP,0.0,0,1,1,Samira,0
GG chiamami gigi,0.0,0,1,0,Mordekaiser,0
Frisouille ,0.0,0,1,0,Velkoz,0
Fools Creed,0.0,0,1,1,Brand,0
Fondle Me Gently,0.0,0,1,0,Warwick,0
Flashkey,0.0,0,1,0,Bard,15-6-2022 15:43
FlashTimeIT,0.0,0,1,1,Lucian,0
FantasyKingLy200,0.0,0,1,1,Cassiopeia,0
FLAGGED4206988,0.0,0,1,0,LeeSin,0
Ezilas,0.0,0,1,0,Zeri,0
Excessived,0.0,0,1,1,Lucian,0
Euken,0.0,0,1,1,Caitlyn,26-5-2022 17:11
Erfigo5667,0.0,0,1,0,Janna,0
Enry3116,0.0,0,1,0,Tristana,0
ElAbrigo,0.0,0,1,1,Taliyah,0
EcStatic,0.0,0,1,1,Heimerdinger,26-5-2022 17:11
