summoner_name,played_with,won_with,played_against,lost_against,date,last_played
Derallabestehier,1.0,0,0,0,12-11-2023 13:25,Yasuo
Das Mahin,1.0,0,0,0,20-11-2023 10:14,MasterYi
D0Texe,1.0,0,0,0,12-11-2023 13:25,Rell
Chanoir,1.0,0,0,0,16-11-2023 11:57,Nidalee
Bruc3L33,1.0,0,0,0,12-11-2023 13:24,Trundle
BiggestBicepEver,1.0,0,0,0,16-11-2023 11:57,Talon
Balestra123,1.0,0,0,0,16-11-2023 11:57,Aatrox
BTRDevil,1.0,0,0,0,16-11-2023 11:57,Jhin
Artorias69,1.0,0,0,0,16-11-2023 11:57,Irelia
Šäufer,0.0,0,1,1,12-11-2023 13:24,Jinx
œøœ,0.0,0,1,1,20-11-2023 10:14,Lissandra
µTimeµ,0.0,0,1,1,20-11-2023 10:14,Samira
xΒarbies Daddy,0.0,0,1,0,16-11-2023 11:57,Twitch
xXLeviathaniaXx,0.0,0,1,1,20-11-2023 10:14,Zed
waeuschen,0.0,0,1,0,22-11-2023 9:28,Kayle
tsheep,0.0,0,1,0,12-11-2023 13:25,Yone
retraain,0.0,0,1,1,12-11-2023 13:24,Tristana
potongo,0.0,0,1,0,20-11-2023 10:14,KSante
pirolopez7,0.0,0,1,1,16-11-2023 11:57,Jayce
pinkarrow91,0.0,0,1,0,16-11-2023 11:57,MissFortune
neveski,0.0,0,1,0,16-11-2023 11:57,Senna
maybefiasco,0.0,0,1,1,20-11-2023 10:14,Heimerdinger
luvanht,0.0,0,1,1,12-11-2023 13:24,Yone
lS3eeD,0.0,0,1,1,16-11-2023 11:57,LeeSin
jowifesboyfriend,0.0,0,1,0,20-11-2023 10:14,Kaisa
jjz,0.0,0,1,0,22-11-2023 9:28,Brand
inting hügi,0.0,0,1,1,16-11-2023 11:57,Corki
hopekiller,0.0,0,1,1,12-11-2023 13:24,Swain
hizokaA,0.0,0,1,0,12-11-2023 13:25,Tristana
heungame,0.0,0,1,1,12-11-2023 13:25,Fizz
hearthland,0.0,0,1,1,12-11-2023 13:25,Anivia
femboγ lover,0.0,0,1,0,12-11-2023 13:25,Belveth
feinuu,0.0,0,1,0,12-11-2023 13:25,Karthus
dap,0.0,0,1,0,12-11-2023 13:25,Belveth
carapasa,0.0,0,1,1,16-11-2023 11:57,Kayle
Zole420,0.0,0,1,1,12-11-2023 13:25,Blitzcrank
Zeyroxs,0.0,0,1,0,12-11-2023 13:25,Gragas
Zedink,0.0,0,1,0,22-11-2023 9:28,Briar
Yehohanan1133,0.0,0,1,0,22-11-2023 9:28,Galio
Xterain,0.0,0,1,1,16-11-2023 11:57,Veigar
WuZheTian1,0.0,0,1,1,20-11-2023 10:14,Sett
WoodGarou,0.0,0,1,0,12-11-2023 13:25,Warwick
Willgate,0.0,0,1,0,12-11-2023 13:25,Sivir
Wezaemoη,0.0,0,1,0,12-11-2023 13:25,Garen
UppyCarry,0.0,0,1,1,20-11-2023 10:14,Gangplank
TxipOO,0.0,0,1,0,16-11-2023 11:57,DrMundo
Trynkzer,0.0,0,1,1,16-11-2023 11:57,TahmKench
The Darken Blade,0.0,0,1,0,16-11-2023 11:57,Briar
Tea Man,0.0,0,1,0,20-11-2023 10:14,Gragas
TBC Ferwi,0.0,0,1,0,20-11-2023 10:14,Sion
St Lukes,0.0,0,1,0,12-11-2023 13:24,Sylas
Shoraba,0.0,0,1,0,12-11-2023 13:24,Blitzcrank
SharonCarriesYou,0.0,0,1,0,16-11-2023 11:57,Graves
Serhou Guirassy,0.0,0,1,0,22-11-2023 9:28,Neeko
Scuro22,0.0,0,1,1,20-11-2023 10:14,Rengar
SanPedro Ayúdame,0.0,0,1,1,16-11-2023 11:57,Velkoz
Salieri204,0.0,0,1,1,20-11-2023 10:14,AurelionSol
SYLASVIEGOHENTAI,0.0,0,1,0,12-11-2023 13:25,Viego
SORRY YOU LOSE ,0.0,0,1,0,22-11-2023 9:28,Nasus
SKZPHRNC,0.0,0,1,1,20-11-2023 10:14,Darius
Rockrider34,0.0,0,1,1,20-11-2023 10:14,Jax
PupswichtelXD,0.0,0,1,0,16-11-2023 11:57,Jax
Pompoty,0.0,0,1,0,22-11-2023 9:28,Lux
PapaF0rmigas,0.0,0,1,0,22-11-2023 9:28,Shaco
OhHeeeelllNooo,0.0,0,1,0,16-11-2023 11:57,JarvanIV
Oh Billy ,0.0,0,1,1,16-11-2023 11:57,Briar
Noxempire,0.0,0,1,0,12-11-2023 13:25,Caitlyn
NewYoshii,0.0,0,1,0,12-11-2023 13:25,Mordekaiser
Mârry,0.0,0,1,1,12-11-2023 13:24,Seraphine
Mutiara,0.0,0,1,0,20-11-2023 10:14,Morgana
Mio Chibana,0.0,0,1,0,12-11-2023 13:24,Ezreal
Meister Krätzer,0.0,0,1,0,12-11-2023 13:25,Ahri
Meatpotatogun,0.0,0,1,1,12-11-2023 13:25,DrMundo
McDonaldsforkids,0.0,0,1,0,20-11-2023 10:14,Veigar
MasaterB28,0.0,0,1,1,20-11-2023 10:14,MissFortune
MarcelRonan,0.0,0,1,0,22-11-2023 9:28,Mordekaiser
