summoner_name,played_with,won_with,played_against,lost_against,last_played,date
Plaaatanoo,1.0,1,0,0,Malphite,0
Pinghue93,1.0,1,0,0,Ashe,1-8-2022 20:42
Osíris,1.0,1,0,0,Xerath,7-8-2022 12:4
OrlyYarlyOwl,1.0,1,0,0,Vayne,0
Ommsi,1.0,1,0,0,Talon,1-8-2022 20:42
Oeil de Rah,1.0,1,0,0,Pyke,0
Nêo San,1.0,1,0,0,Pyke,23-8-2022 16:46
Nougreshibi,1.0,1,0,0,Sett,8-8-2022 21:40
Notakisae,1.0,1,0,0,Yuumi,16-8-2022 10:31
NoLifeDxDShiro,1.0,1,0,0,XinZhao,8-8-2022 9:56
NegulNagli,1.0,1,0,0,Lillia,1-8-2022 20:42
Nawek95,1.0,1,0,0,Qiyana,30-7-2022 12:42
NatureKing99,1.0,1,0,0,Yasuo,16-8-2022 10:30
Nachtara420,1.0,1,0,0,Ahri,11-8-2022 22:0
MythicalLizzard,1.0,1,0,0,Darius,23-8-2022 16:46
Muleta,1.0,1,0,0,Hecarim,0
MrLeben4,1.0,1,0,0,Belveth,9-8-2022 22:44
MrHELLOS,1.0,1,0,0,Malzahar,9-9-2022 10:4
MohDarkShadow,1.0,1,0,0,Kayle,9-8-2022 22:21
MkiSilva,1.0,1,0,0,MasterYi,1-8-2022 20:41
MiguelGZ,1.0,1,0,0,Shen,11-8-2022 20:32
Meteor David,1.0,1,0,0,Garen,9-8-2022 22:21
McHannes,1.0,1,0,0,Lucian,0
MaybeSomedayHoe,1.0,1,0,0,LeeSin,7-8-2022 12:4
MaxGeroy RU,1.0,1,0,0,Malphite,0
Matumbina111,1.0,1,0,0,Zed,30-7-2022 12:42
MatDegr,1.0,1,0,0,Yone,0
MasterSamah,1.0,1,0,0,Renata,6-9-2022 10:26
MandarineZz,1.0,1,0,0,Irelia,0
Maathno18,1.0,1,0,0,Malzahar,1-8-2022 20:41
LuminaLeGa,1.0,1,0,0,Seraphine,9-8-2022 22:21
Lukas PodoIski,1.0,1,0,0,Yasuo,0
LuckyLuke2305,1.0,1,0,0,Yasuo,30-7-2022 12:42
LordVaddi,1.0,1,0,0,Neeko,30-7-2022 12:41
Lolihugger Squid,1.0,1,0,0,Leona,0
LindoXTI,1.0,1,0,0,Ezreal,30-7-2022 12:42
LiL Naan,1.0,1,0,0,Twitch,10-8-2022 13:24
Legendary Mare,1.0,1,0,0,Jayce,7-8-2022 12:42
LeFeunix,1.0,1,0,0,Yuumi,0
Laps7219,1.0,1,0,0,Garen,30-7-2022 12:42
Lamaramaman,1.0,1,0,0,Zed,0
Laique,1.0,1,0,0,Fiora,0
Lady Pøppy,1.0,1,0,0,Olaf,0
LMAO SO TILTED,1.0,1,0,0,Malzahar,0
LKD Leona,1.0,1,0,0,MonkeyKing,0
LIGHTWElGHT BABY,1.0,1,0,0,Sylas,0
LAFERM3,1.0,1,0,0,Sylas,9-8-2022 22:22
Kyozu,1.0,1,0,0,Katarina,0
Kurokoe,1.0,1,0,0,Varus,8-8-2022 21:40
Kuroko2312,1.0,1,0,0,Shen,0
Kogzuu,1.0,1,0,0,Qiyana,8-8-2022 21:40
Klatschkumpen,1.0,1,0,0,Mordekaiser,9-8-2022 22:22
KitsuWhrite,1.0,1,0,0,DrMundo,8-8-2022 21:40
KingMikeDerMC,1.0,1,0,0,Vayne,9-8-2022 11:26
Kat on steroids,1.0,1,0,0,Caitlyn,0
KarumanoShiro,1.0,1,0,0,Fizz,8-8-2022 9:56
KaidonS99,1.0,1,0,0,Rengar,9-8-2022 23:11
Kaelepot,1.0,1,0,0,Lucian,0
Jãck Kuñ,1.0,1,0,0,Rammus,16-8-2022 10:31
Judipom,1.0,1,0,0,Pantheon,0
Joe la moustache,1.0,1,0,0,Garen,0
Jaey,1.0,1,0,0,Thresh,23-8-2022 16:46
IuryIori,1.0,1,0,0,Chogath,12-8-2022 10:57
ItadoriTodo,1.0,1,0,0,Garen,6-9-2022 10:26
Irelyyyaaa,1.0,1,0,0,Viego,24-7-2022 18:6
ImmaRageQuit,1.0,1,0,0,Akali,9-8-2022 11:26
Ilithi0s,1.0,1,0,0,Rell,16-8-2022 10:31
IAmTheOldFriend,1.0,1,0,0,Taric,9-9-2022 10:5
Holytrashbag2,1.0,1,0,0,Diana,0
HollyTheHwore,1.0,1,0,0,Brand,23-8-2022 16:46
HULKZEZO,1.0,1,0,0,Lux,0
Godslayer Leona,1.0,1,0,0,Karma,0
GULP MY SNOWBALL,1.0,1,0,0,Viego,0
GL àt KFC,1.0,1,0,0,Lucian,1-8-2022 20:41
FreezedMint,1.0,1,0,0,Varus,7-8-2022 12:42
FoD Syntax,1.0,1,0,0,Yone,23-8-2022 16:46
Fizz ψ,1.0,1,0,0,Fizz,0
Excessive Kami,1.0,1,0,0,MasterYi,3-8-2022 14:48
ExceptiÔn,1.0,1,0,0,Tryndamere,24-7-2022 18:6
Ethereal Destiny,1.0,1,0,0,Gwen,0
Ender Warlock,1.0,1,0,0,Sion,9-9-2022 10:4
Einaras,1.0,1,0,0,Tryndamere,10-8-2022 16:31
EMERN0LD,1.0,1,0,0,Morgana,9-8-2022 11:26
Duh Macia Gaming,1.0,1,0,0,Sett,0
DroVz,1.0,1,0,0,Malphite,10-8-2022 16:31
Diselíco,1.0,1,0,0,Renekton,0
DerFetteVolker,1.0,1,0,0,Thresh,11-8-2022 20:4
Deathokow,1.0,1,0,0,Pantheon,0
Darth Deadpool,1.0,1,0,0,Shaco,9-8-2022 22:21
DarkMikuHatsune,1.0,1,0,0,Gangplank,11-8-2022 20:4
DMoura,1.0,1,0,0,Malzahar,0
DAKIPC,1.0,1,0,0,MissFortune,0
CupOfTea32,1.0,1,0,0,Teemo,0
Crymson,1.0,1,0,0,Warwick,0
Ciampa15,1.0,1,0,0,Kled,30-7-2022 12:42
Cheetos1125,1.0,1,0,0,Blitzcrank,0
CaptainNadega,1.0,1,0,0,Irelia,7-8-2022 12:4
CaptainKevin2009,1.0,1,0,0,Graves,0
C00kiethekiller,1.0,1,0,0,Karma,11-8-2022 20:4
Bribe everyone,1.0,1,0,0,Zilean,9-8-2022 23:11
