champion_id,champion_name,played_with,won_with,played_against,lost_against,winrate,tot_played
5,XinZhao,26.0,9,23,13,44.9,49.0
236,Lucian,110.0,46,89,43,44.72,199.0
82,Mordekaiser,79.0,33,68,32,44.22,147.0
223,TahmKench,47.0,17,39,21,44.19,86.0
7,Leblanc,77.0,32,67,31,43.75,144.0
8,Vladimir,48.0,16,64,33,43.75,112.0
57,Maokai,56.0,26,79,33,43.7,135.0
58,Renekton,26.0,7,29,17,43.64,55.0
60,Elise,21.0,11,25,9,43.48,46.0
101,Xerath,81.0,34,71,32,43.42,152.0
19,Warwick,38.0,13,38,20,43.42,76.0
16,Soraka,80.0,39,74,27,42.86,154.0
245,Ekko,77.0,37,56,20,42.86,133.0
86,Garen,49.0,19,63,29,42.86,112.0
32,Amumu,41.0,16,57,26,42.86,98.0
268,Azir,32.0,10,38,20,42.86,70.0
897,KSante,16.0,6,12,6,42.86,28.0
145,Kaisa,95.0,37,109,50,42.65,204.0
9,Fiddlesticks,57.0,24,77,33,42.54,134.0
526,Rell,15.0,8,16,5,41.94,31.0
266,Aatrox,49.0,20,49,21,41.84,98.0
59,JarvanIV,70.0,29,50,21,41.67,120.0
72,Skarner,7.0,3,17,7,41.67,24.0
112,Viktor,58.0,24,58,24,41.38,116.0
23,Tryndamere,21.0,13,40,12,40.98,61.0
517,Sylas,63.0,26,65,26,40.62,128.0
76,Nidalee,85.0,30,103,46,40.43,188.0
203,Kindred,44.0,18,59,23,39.81,103.0
91,Talon,30.0,13,40,14,38.57,70.0
84,Akali,52.0,20,68,25,37.5,120.0
421,RekSai,7.0,2,9,4,37.5,16.0
64,LeeSin,72.0,28,70,24,36.62,142.0
120,Hecarim,25.0,7,28,12,35.85,53.0
20,Nunu,44.0,15,52,19,35.42,96.0
28,Evelynn,12.0,5,17,5,34.48,29.0
246,Qiyana,41.0,15,37,10,32.05,78.0
895,Nilah,19.0,9,15,1,29.41,34.0
83,Yorick,10.0,3,7,1,23.53,17.0
897,unknown,2.0,0,2,0,0.0,4.0
233,Briar,2.0,0,1,0,0.0,3.0
