summoner_name,played_with,won_with,played_against,lost_against,last_played,date
I Am Not Draven,0.0,0,1,1,Ezreal,0
HyperrXV,0.0,0,1,1,Yasuo,0
Henrik242,0.0,0,1,1,Malphite,0
Gusinet,0.0,0,2,2,Akali,8-5-2022 13:1
Guingan,0.0,0,2,2,Kaisa,8-5-2022 13:1
Greker,0.0,0,1,0,Zed,0
Ghandi The Great,0.0,0,1,0,Illaoi,0
Ger0j,0.0,0,1,1,Malphite,0
GeneraI Onyx,0.0,0,1,1,Yasuo,0
G0dlikexX08,0.0,0,2,0,Ezreal,8-5-2022 13:1
FögglA,0.0,0,1,1,Renekton,0
Fuiadto,0.0,0,1,1,Elise,0
FufiGirl,0.0,0,2,2,Kaisa,8-5-2022 13:1
Frogui Rash,0.0,0,2,0,Zeri,8-5-2022 13:1
Fozzi,0.0,0,1,1,Malphite,0
FPW Söhei,0.0,0,2,2,Akali,8-5-2022 13:1
Erke,0.0,0,1,0,Zed,0
EdoTenseiIRiven,0.0,0,1,1,Kaisa,23-4-2022 20:40
DoinItStoned,0.0,0,1,0,Zilean,0
D Sky NC ,0.0,0,2,0,Swain,8-5-2022 13:1
Clivils,0.0,0,1,1,Ezreal,0
CHILAsacu,0.0,0,1,0,Twitch,0
C9 Oden,0.0,0,1,1,Brand,0
Bnn,0.0,0,2,2,Warwick,8-5-2022 13:1
BadShadow98,0.0,0,2,0,Zeri,8-5-2022 13:1
Aniedunai,0.0,0,1,1,Kaisa,23-4-2022 20:40
Affelito,0.0,0,2,2,Warwick,8-5-2022 13:1
Achraf hero,0.0,0,2,0,Jinx,8-5-2022 13:2
7GoldenBear7,0.0,0,1,0,Illaoi,0
1 S A T E L L A ,0.0,0,1,1,Kaisa,23-4-2022 20:40
