temp: 16.34C 	 humi: 69.61% 	 co2: 423 	 pm25: -1.0 	 pm100: -1.0 	 press: 1005.4Pa 	 gasRes: None Ohm 	 outside temp: 9.12 C
temp: 16.35C 	 humi: 69.283% 	 co2: 426 	 pm25: -1.0 	 pm100: -1.0 	 press: 1005.42Pa 	 gasRes: None Ohm 	 outside temp: 9.12 C
temp: 16.37C 	 humi: 69.609% 	 co2: 423 	 pm25: -1.0 	 pm100: -1.0 	 press: 1005.55Pa 	 gasRes: None Ohm 	 outside temp: 9.12 C
temp: 16.38C 	 humi: 69.497% 	 co2: 419 	 pm25: -1.0 	 pm100: -1.0 	 press: 1005.63Pa 	 gasRes: None Ohm 	 outside temp: 9.15 C
temp: 16.38C 	 humi: 69.335% 	 co2: 417 	 pm25: -1.0 	 pm100: -1.0 	 press: 1005.69Pa 	 gasRes: None Ohm 	 outside temp: 9.12 C
temp: 16.38C 	 humi: 69.044% 	 co2: 421 	 pm25: -1.0 	 pm100: -1.0 	 press: 1005.75Pa 	 gasRes: None Ohm 	 outside temp: 9.06 C
temp: 16.38C 	 humi: 69.176% 	 co2: 434 	 pm25: -1.0 	 pm100: -1.0 	 press: 1005.82Pa 	 gasRes: None Ohm 	 outside temp: 9.1 C
temp: 16.37C 	 humi: 68.594% 	 co2: 436 	 pm25: -1.0 	 pm100: -1.0 	 press: 1005.86Pa 	 gasRes: None Ohm 	 outside temp: 9.1 C
temp: 16.37C 	 humi: 69.345% 	 co2: 466 	 pm25: -1.0 	 pm100: -1.0 	 press: 1005.88Pa 	 gasRes: None Ohm 	 outside temp: 9.01 C
temp: 16.36C 	 humi: 69.046% 	 co2: 488 	 pm25: -1.0 	 pm100: -1.0 	 press: 1005.94Pa 	 gasRes: None Ohm 	 outside temp: 9.03 C
temp: 16.36C 	 humi: 69.08% 	 co2: 508 	 pm25: -1.0 	 pm100: -1.0 	 press: 1005.98Pa 	 gasRes: None Ohm 	 outside temp: 9.05 C
temp: 16.36C 	 humi: 69.504% 	 co2: 526 	 pm25: -1.0 	 pm100: -1.0 	 press: 1006.02Pa 	 gasRes: None Ohm 	 outside temp: 9.12 C
temp: 16.36C 	 humi: 69.38% 	 co2: 548 	 pm25: -1.0 	 pm100: -1.0 	 press: 1006.06Pa 	 gasRes: None Ohm 	 outside temp: 9.12 C
temp: 16.37C 	 humi: 69.643% 	 co2: 567 	 pm25: -1.0 	 pm100: -1.0 	 press: 1006.08Pa 	 gasRes: None Ohm 	 outside temp: 9.04 C
temp: 16.37C 	 humi: 69.63% 	 co2: 584 	 pm25: -1.0 	 pm100: -1.0 	 press: 1006.12Pa 	 gasRes: None Ohm 	 outside temp: 9.04 C
temp: 16.38C 	 humi: 70.055% 	 co2: 588 	 pm25: -1.0 	 pm100: -1.0 	 press: 1006.2Pa 	 gasRes: None Ohm 	 outside temp: 8.98 C
temp: 16.39C 	 humi: 69.963% 	 co2: 586 	 pm25: -1.0 	 pm100: -1.0 	 press: 1006.24Pa 	 gasRes: None Ohm 	 outside temp: 8.87 C
temp: 16.41C 	 humi: 70.195% 	 co2: 581 	 pm25: -1.0 	 pm100: -1.0 	 press: 1006.29Pa 	 gasRes: None Ohm 	 outside temp: 8.89 C
temp: 16.42C 	 humi: 70.022% 	 co2: 563 	 pm25: -1.0 	 pm100: -1.0 	 press: 1006.35Pa 	 gasRes: None Ohm 	 outside temp: 8.93 C
