summoner_name,played_with,won_with,played_against,lost_against,last_played,date
IAMTHEALLRANGE,1.0,1,0,0,Nautilus,19-5-2023 22:30
HornyCarry,1.0,1,0,0,Tryndamere,20-3-2022 15:16
Homeless Pet,1.0,1,0,0,Syndra,20-3-2022 15:16
Hayrule,1.0,1,0,0,Udyr,0
GoldenTimes,1.0,1,0,0,MasterYi,0
Gleucky,1.0,1,0,0,Veigar,0
Fuehrer HQ,1.0,1,0,0,Diana,20-3-2022 15:16
FrozenInk,1.0,1,0,0,Brand,19-5-2023 22:30
Fodrizzle,1.0,1,0,0,Zyra,20-3-2022 15:16
Feringen,1.0,1,0,0,MonkeyKing,19-5-2023 22:30
FIagged,1.0,1,0,0,Sivir,20-3-2022 15:16
EvrardCestNul,1.0,1,0,0,Zed,18-5-2023 21:40
Evil SouI,1.0,1,0,0,MissFortune,18-5-2023 21:40
Esp0ir13,1.0,1,0,0,Kayle,19-5-2023 22:30
Elgroj,1.0,1,0,0,Ekko,18-5-2023 21:40
El Hambre,1.0,1,0,0,Warwick,20-3-2022 15:16
El GOTTI A ,1.0,1,0,0,Shen,20-3-2022 15:16
EDGhenge,1.0,1,0,0,Jayce,20-3-2022 15:15
ECS Stou,1.0,1,0,0,Renata,20-3-2022 15:16
Draenor,1.0,1,0,0,Aatrox,18-5-2023 21:40
DaddyDeadlift ,1.0,1,0,0,Chogath,19-5-2023 22:30
Cyrò,1.0,1,0,0,Anivia,18-5-2023 21:40
Cc0rNn,1.0,1,0,0,Veigar,20-3-2022 15:15
Caramelo Dulce,1.0,1,0,0,Malzahar,18-5-2023 21:40
CandysLife,1.0,1,0,0,Bard,18-5-2023 21:41
Böse Göttin,1.0,1,0,0,Heimerdinger,0
BoeserGott,1.0,1,0,0,Kayle,0
Blacknd,1.0,1,0,0,Lux,0
Bertouli,1.0,1,0,0,Urgot,0
BOOMYHOUSE,1.0,1,0,0,Sejuani,18-5-2023 21:40
Astocan,1.0,1,0,0,Nautilus,0
AryzeTB,1.0,1,0,0,Amumu,20-3-2022 15:16
Ameshini,1.0,1,0,0,Khazix,18-5-2023 21:40
AkveDook,1.0,1,0,0,Bard,19-5-2023 22:30
Aithu2371,1.0,1,0,0,Lux,18-5-2023 21:41
Absynthe666,1.0,1,0,0,Lux,0
6Q Smeb,1.0,1,0,0,Jinx,20-3-2022 15:16
ßigEasy,1.0,0,0,0,Heimerdinger,19-5-2023 22:30
Ä M Ä Z I N G,1.0,0,0,0,Soraka,20-3-2022 15:16
vaał,1.0,0,0,0,Seraphine,19-5-2023 22:30
