summoner_name,played_with,won_with,played_against,lost_against,last_played,date
rank 1 hässelby,1.0,0,0,0,Ryze,0
ponzels,1.0,0,0,0,Yone,0
pOrnnStarJgler,1.0,0,0,0,Katarina,0
n4rumi,1.0,0,0,0,Ekko,0
my meIody,1.0,0,0,0,Yuumi,0
melu,1.0,0,0,0,Viktor,4-8-2022 22:8
liBSYUAN,1.0,0,0,0,JarvanIV,0
laxaal,1.0,0,0,0,Yorick,0
ki11i,1.0,0,0,0,Gwen,0
i want grill,1.0,0,0,0,Renekton,0
i love boul,1.0,0,0,0,Mordekaiser,4-8-2022 22:7
gnJUL RicardMan,1.0,0,0,0,Swain,4-8-2022 22:7
fabio2211,1.0,0,0,0,Veigar,0
cýpy,1.0,0,0,0,Mordekaiser,0
chuebiel,1.0,0,0,0,Malphite,0
YourEndboss,1.0,0,0,0,Malphite,0
Ymir Jäger,1.0,0,0,0,Riven,0
WoodDream,1.0,0,0,0,Gragas,0
Volt4xe,1.0,0,0,0,Kayle,4-8-2022 22:8
Vazgard,1.0,0,0,0,Ryze,0
Vaanya,1.0,0,0,0,Vayne,0
TomateSacaLa9mm,1.0,0,0,0,Ahri,4-8-2022 22:7
TheKarpis,1.0,0,0,0,Qiyana,0
TheBarrufet,1.0,0,0,0,Gwen,4-8-2022 22:8
The Alysian,1.0,0,0,0,Nami,0
T1 Repasha,1.0,0,0,0,Lucian,0
Suriøn,1.0,0,0,0,Akali,0
Steel Wolff,1.0,0,0,0,Yuumi,0
SorenOne,1.0,0,0,0,LeeSin,0
Siyuan07250,1.0,0,0,0,Zyra,0
SirFake,1.0,0,0,0,Lillia,0
SirEliteKnight  ,1.0,0,0,0,Shen,4-8-2022 22:7
Sir John Rambo,1.0,0,0,0,DrMundo,0
Shiny Milotic,1.0,0,0,0,Sylas,0
Shaco Main,1.0,0,0,0,Rammus,0
Setttt,1.0,0,0,0,Pyke,0
SakiJakiNagaSaki,1.0,0,0,0,Gangplank,4-8-2022 22:8
SUPER GURRA,1.0,0,0,0,Galio,0
SR71BlackBird,1.0,0,0,0,Swain,0
SGC Toxic,1.0,0,0,0,MonkeyKing,0
SBARRATURGIDA ,1.0,0,0,0,Pyke,0
SANOVAA,1.0,0,0,0,JarvanIV,0
SAD3N,1.0,0,0,0,Vayne,0
RoughGuenni,1.0,0,0,0,Lux,18-5-2023 21:40
RoccatinoVD,1.0,0,0,0,Blitzcrank,0
Quencolphyss,1.0,0,0,0,Ashe,4-8-2022 22:8
PolarisOmega,1.0,0,0,0,MasterYi,0
Platzpatrone1980,1.0,0,0,0,Caitlyn,18-5-2023 21:40
Pikächu,1.0,0,0,0,Gnar,0
Petit Pere Dodu,1.0,0,0,0,XinZhao,0
Pechu,1.0,0,0,0,Viego,0
OcelotRising,1.0,0,0,0,Fizz,18-5-2023 21:40
Nuqq123,1.0,0,0,0,Gangplank,4-8-2022 22:7
NoLube,1.0,0,0,0,Leona,0
NekroSad,1.0,0,0,0,Lulu,0
Nax RumpKeso,1.0,0,0,0,Twitch,0
Mänjí Thë Rønïn,1.0,0,0,0,Jax,0
MrSlava1,1.0,0,0,0,Mordekaiser,0
MidasTouched,1.0,0,0,0,Qiyana,0
MiDLeaDeR,1.0,0,0,0,Riven,0
MerGuez NighT,1.0,0,0,0,Velkoz,4-8-2022 22:8
MShiba,1.0,0,0,0,Soraka,0
MAJESTIC1704,1.0,0,0,0,Fiddlesticks,0
LordLobus,1.0,0,0,0,Pyke,0
Lord Franccesco,1.0,0,0,0,Volibear,0
LoQueAwantaYPega,1.0,0,0,0,Talon,4-8-2022 22:8
Le Grem,1.0,0,0,0,Qiyana,0
LMAOimTOXIC,1.0,0,0,0,Zoe,0
LCSshowmaker,1.0,0,0,0,Katarina,0
Ks GÖD,1.0,0,0,0,Lulu,0
KimJongUwU,1.0,0,0,0,Nami,0
Killua ZΦldyck,1.0,0,0,0,Zac,0
Kiing of Bel Air,1.0,0,0,0,Qiyana,0
Kardo81,1.0,0,0,0,Warwick,4-8-2022 22:7
K4S Andwj,1.0,0,0,0,Vladimir,0
Just Give in,1.0,0,0,0,Xerath,0
Jake554,1.0,0,0,0,Diana,0
Jaazda,1.0,0,0,0,Kayn,0
IacopiniBernard,1.0,0,0,0,Thresh,0
Huno,1.0,0,0,0,Yone,0
HoIidayArmadillo,1.0,0,0,0,Evelynn,0
Harvoon,1.0,0,0,0,Galio,0
Haecky01,1.0,0,0,0,Kennen,0
GünterSchnetzler,1.0,0,0,0,Udyr,18-5-2023 21:40
Geroldus666,1.0,0,0,0,Illaoi,18-5-2023 21:40
GeorgeHJ1828,1.0,0,0,0,Ryze,0
GakobTheKilller,1.0,0,0,0,Ryze,0
Free Dopa,1.0,0,0,0,Renekton,0
Fever Dream,1.0,0,0,0,Yasuo,0
Faraq,1.0,0,0,0,Thresh,0
FNC fhNix,1.0,0,0,0,Shaco,0
FIP Trickett,1.0,0,0,0,Shaco,0
FE3H Wranduin,1.0,0,0,0,Jayce,0
EmilyzS,1.0,0,0,0,Viego,0
Elite Spellus,1.0,0,0,0,JarvanIV,0
Drunk Redneck,1.0,0,0,0,Gangplank,0
DerKi3s3l,1.0,0,0,0,Chogath,0
DUNKAPLÅT44,1.0,0,0,0,Senna,0
DRAVEN NO CHAT,1.0,0,0,0,Nidalee,0
Ciufi,1.0,0,0,0,Janna,0
ChrystalChris,1.0,0,0,0,Nami,4-8-2022 22:7
CharlesAzNoLouze,1.0,0,0,0,Volibear,0
Carapattolino,1.0,0,0,0,Kindred,4-8-2022 22:8
Captain Noodles,1.0,0,0,0,Darius,0
Café De Casul,1.0,0,0,0,Jinx,0
CARRY ME DADDYY,1.0,0,0,0,Karma,4-8-2022 22:7
Bodykill,1.0,0,0,0,Brand,0
BloodLess Priest,1.0,0,0,0,Twitch,4-8-2022 22:7
BeeZaWarudo,1.0,0,0,0,Malzahar,0
Bartman0,1.0,0,0,0,LeeSin,0
Bardon me Sir,1.0,0,0,0,Syndra,4-8-2022 22:7
Awkward Otaku,1.0,0,0,0,Nautilus,0
ADHD Singed,1.0,0,0,0,Viego,0
ADChilled,1.0,0,0,0,Fiora,0
22 April,1.0,0,0,0,Ziggs,0
Υαδωσ,0.0,0,1,1,Orianna,0
Ξ Ær Ξ ,0.0,0,1,1,Zeri,0
zeiii,0.0,0,1,0,Katarina,0
z tyłu z tyłu,0.0,0,1,0,Nami,0
xsmcgvkf,0.0,0,1,0,Ashe,0
xXThEThUgXx,0.0,0,1,1,Kaisa,0
xLeonidas47x,0.0,0,1,1,Ezreal,0
wearcape and fly,0.0,0,1,0,Kaisa,0
trogger747,0.0,0,1,1,Nautilus,4-8-2022 22:7
thurom,0.0,0,1,1,Zed,0
theLittleKillers,0.0,0,1,0,Seraphine,0
ssamu,0.0,0,1,0,Sylas,0
smol child,0.0,0,1,1,Akali,0
shira 666 ,0.0,0,1,1,Zed,0
schieldeon,0.0,0,1,0,Viego,0
sakutsuj,0.0,0,1,0,Senna,0
s3 was fun,0.0,0,1,0,Nunu,0
rellikorn,0.0,0,1,0,Nautilus,0
r1ecb,0.0,0,1,1,Ahri,0
r u Ice cream no,0.0,0,1,1,Hecarim,0
puppii,0.0,0,1,1,Diana,0
pizz4 smurf,0.0,0,1,0,Karma,0
oorok,0.0,0,1,1,Jinx,0
noblée,0.0,0,1,1,Karma,0
nico10las,0.0,0,1,0,Darius,0
mmjjkingLOL,0.0,0,1,0,Nasus,0
mdmqlsx,0.0,0,1,0,Rakan,0
maakalele,0.0,0,1,1,Nocturne,4-8-2022 22:8
luisgi1222,0.0,0,1,0,Zoe,0
lucac44,0.0,0,1,0,Kalista,0
lswe,0.0,0,1,0,Xayah,0
lo0ody,0.0,0,1,0,Karma,0
lightofhope,0.0,0,1,1,Jax,0
lergel,0.0,0,1,1,Gwen,0
kittsundere,0.0,0,1,0,Karma,0
kitchengunn,0.0,0,1,1,Jhin,0
k3v1nDu92,0.0,0,1,0,Poppy,0
juju4092,0.0,0,1,1,Karma,0
joshyzorz,0.0,0,1,1,Yorick,0
ixFaker,0.0,0,1,1,Brand,0
imma head jungle,0.0,0,1,0,Camille,20-3-2022 15:16
iPik,0.0,0,1,1,Pantheon,0
hydraquiche,0.0,0,1,1,Nunu,0
hunchidengsi,0.0,0,1,0,Jax,0
herbrine99,0.0,0,1,0,Nunu,0
goodu,0.0,0,1,1,Lillia,0
goebier,0.0,0,1,1,Jinx,0
find a cape,0.0,0,1,0,Rakan,0
ff 15 pl3ase,0.0,0,1,0,Soraka,4-8-2022 22:7
ej la vær kiso,0.0,0,1,1,Volibear,4-8-2022 22:7
eGirl evolving Q,0.0,0,1,1,Kindred,0
drgbgt,0.0,0,1,0,Riven,0
dreadtothehawk,0.0,0,1,0,Aatrox,0
csccd,0.0,0,1,0,Kaisa,0
cpt barboOssa,0.0,0,1,1,Brand,4-8-2022 22:7
coronix mor,0.0,0,1,1,Morgana,0
chazz,0.0,0,1,0,Ezreal,0
btpoyljks,0.0,0,1,0,Mordekaiser,0
biubiuYY,0.0,0,1,1,Orianna,0
bannamen97,0.0,0,1,1,Shyvana,4-8-2022 22:8
asElm,0.0,0,1,0,Lucian,20-3-2022 15:16
archroft,0.0,0,1,1,Galio,0
apollo0205,0.0,0,1,0,Gnar,0
a bloody mess,0.0,0,1,1,Viego,0
Zęρhyr,0.0,0,1,0,Orianna,0
Zoríx,0.0,0,1,1,Annie,0
ZelShiro,0.0,0,1,1,XinZhao,0
Zediae,0.0,0,1,1,Lulu,0
Zangętsu,0.0,0,1,0,Vayne,0
YummyFingers,0.0,0,1,1,Leona,0
Yukebøx,0.0,0,1,1,Blitzcrank,0
Yphieftoctre,0.0,0,1,1,Jax,4-8-2022 22:7
Yascho,0.0,0,1,1,Katarina,0
XiyanSpiEleR,0.0,0,1,1,Hecarim,0
Xiitz,0.0,0,1,0,Udyr,0
Xenakiro,0.0,0,1,1,Velkoz,0
WooflessFTW,0.0,0,1,1,Elise,0
Win by Coinflip,0.0,0,1,0,LeeSin,4-8-2022 22:7
Win With Fiora,0.0,0,1,0,Katarina,0
WiZZyX,0.0,0,1,0,Lucian,0
WhyIsSettSoHot,0.0,0,1,0,Akali,4-8-2022 22:7
WarriorSmurfz,0.0,0,1,1,Diana,0
Volcott,0.0,0,1,1,Kaisa,0
VladiMdlr,0.0,0,1,1,Diana,0
Viixy,0.0,0,1,0,Lux,0
Veneris,0.0,0,1,1,Ahri,0
Velsheda,0.0,0,1,1,Kaisa,0
Vaquero0o,0.0,0,1,0,Renekton,0
VanHoutte,0.0,0,1,0,Jhin,0
Urgø,0.0,0,1,0,XinZhao,18-5-2023 21:41
Upawn,0.0,0,1,1,Lulu,0
Unstable Being,0.0,0,1,0,Sylas,0
Typical Elo Hell,0.0,0,1,0,Sejuani,0
TwoDaggersØneAdc,0.0,0,1,0,Qiyana,0
Turkish Salad,0.0,0,1,1,Chogath,0
