summoner_name,played_with,won_with,played_against,lost_against,date,last_played
Mustav,0.0,0,1,0,9-2-2024 11:20,Briar
Morot,0.0,0,1,1,9-2-2024 11:20,Kindred
Man of CuIture,0.0,0,1,1,9-2-2024 11:20,Cassiopeia
LÜmmELDÜmmEL,0.0,0,1,1,9-2-2024 11:20,Heimerdinger
Kαzumα Kiryu,0.0,0,1,1,9-2-2024 11:20,Sett
Kxgu,0.0,0,1,0,9-2-2024 11:20,MissFortune
Kryne92,0.0,0,1,0,9-2-2024 11:20,Tristana
Krautkontrol,0.0,0,1,0,9-2-2024 11:19,DrMundo
KiroshSenpaii,0.0,0,1,0,9-2-2024 11:20,Lux
KZ Camper,0.0,0,1,1,9-2-2024 11:20,Sivir
ISHYYNE,0.0,0,1,1,9-2-2024 11:20,Kayle
HextaiHeaven,0.0,0,1,1,9-2-2024 11:20,MasterYi
He1merdinger,0.0,0,1,0,9-2-2024 11:20,Kayle
Gr4wl,0.0,0,1,1,9-2-2024 11:20,Viktor
Gomu Gomu No Int,0.0,0,1,0,9-2-2024 11:20,Ezreal
Fotzi,0.0,0,1,0,9-2-2024 11:20,Seraphine
Faucheur6,0.0,0,1,1,9-2-2024 11:20,Sett
Evan6645,0.0,0,1,0,9-2-2024 11:20,Shen
Eratostème1,0.0,0,1,1,9-2-2024 11:20,Zoe
Eisak,0.0,0,1,0,9-2-2024 11:20,Diana
Echoo,0.0,0,1,0,9-2-2024 11:20,Lux
D3athlucker,0.0,0,1,0,9-2-2024 11:20,Trundle
Carry O Mat 9000,0.0,0,1,1,9-2-2024 11:20,Syndra
CEO of GEO,0.0,0,1,1,9-2-2024 11:20,Janna
Bronze jonasx2,0.0,0,1,1,9-2-2024 11:20,Pyke
BreakingBroken,0.0,0,1,1,9-2-2024 11:20,Sivir
BDxSM Oromis,0.0,0,1,0,9-2-2024 11:20,Quinn
Arclove,0.0,0,1,0,9-2-2024 11:20,Diana
