champion_id,champion_name,played,won,kills,deaths,assists,average_damage_dealt,average_damage_taken,damage_diff,double_kills,triple_kills,quadra_kills,penta_kills,unreal_kills,average_healing_done,cc_score,winrate
875,Sett,1.0,1,26,11,21,82661,38966,43695,4,2,1,0,0,11356,16,100
25,Morgana,1.0,1,18,15,36,47407,34389,13018,3,0,0,0,0,1070,21,100
236,Lucian,1.0,1,6,6,29,29491,17970,11521,0,0,0,0,0,3340,35,100
267,Nami,1.0,1,13,11,13,21063,25357,-4294,3,0,0,0,0,1057,0,100
202,Jhin,1.0,1,5,12,30,21792,32468,-10676,0,0,0,0,0,3700,46,100
40,Janna,1.0,0,15,10,32,90922,37381,53541,3,1,1,0,0,20270,56,0
10,Kayle,1.0,0,19,14,15,54478,34523,19955,3,1,1,0,0,5376,19,0
79,Gragas,1.0,0,11,7,31,37478,18201,19277,1,0,0,0,0,2631,4,0
136,AurelionSol,1.0,0,0,7,50,7771,25176,-17405,0,0,0,0,0,16401,25,0
141,Kayn,1.0,0,3,20,27,27348,112918,-85570,0,0,0,0,0,3820,29,0
