date,timeStamp,temperature,outside temperature,humidity,co2,pm2.5,pm10,pressure,gasResistance
2024-01-13,00:03:09,16.44,3.55,51.423,434,1.9,4.2,1030.75,
2024-01-13,00:08:09,16.4,3.66,50.438,450,1.9,4.2,1030.73,
2024-01-13,00:13:09,16.37,3.66,50.358999999999995,445,2.4,3.8,1030.67,
2024-01-13,00:18:09,16.24,3.66,51.352,427,2.5,5.6,1030.63,
2024-01-13,00:23:09,16.04,3.58,51.433,410,2.1,3.9,1030.61,
2024-01-13,00:28:09,15.86,3.58,51.254,409,2.4,3.5,1030.55,
2024-01-13,00:33:09,15.670000000000002,3.63,51.428000000000004,410,2.0,4.0,1030.53,
2024-01-13,00:38:09,15.52,3.66,51.787,409,2.2,2.7,1030.48,
2024-01-13,00:43:09,15.39,3.66,51.58,409,1.8,3.3,1030.4,
2024-01-13,00:48:09,15.29,3.58,51.722,409,2.1,2.7,1030.34,
2024-01-13,00:53:09,15.22,3.58,51.777,409,2.3,3.2,1030.3,
2024-01-13,00:58:09,15.170000000000002,3.81,51.716,409,1.7,2.5,1030.22,
2024-01-13,01:03:09,15.15,3.81,51.711999999999996,410,2.2,3.8,1030.14,
2024-01-13,01:08:09,15.09,3.81,52.06399999999999,409,2.5,3.3,1030.1,
2024-01-13,01:13:09,15.010000000000002,3.85,52.151,409,2.0,2.9,1030.04,
2024-01-13,01:18:09,14.92,3.85,52.381,409,2.7,3.3,1029.97,
2024-01-13,01:23:09,14.89,3.85,52.235,409,2.5,3.1,1029.89,
2024-01-13,01:28:09,14.81,3.5,52.578,409,3.3,3.7,1029.85,
2024-01-13,01:33:09,14.74,3.5,52.45399999999999,409,2.6,2.8,1029.77,
2024-01-13,01:38:09,14.72,3.75,52.343,409,2.5,3.9,1029.73,
2024-01-13,01:43:09,14.69,3.75,52.468999999999994,409,3.1,4.7,1029.69,
2024-01-13,01:48:09,14.65,3.75,52.569,409,3.0,3.5,1029.65,
2024-01-13,01:53:09,14.61,3.75,52.677,409,2.9,3.3,1029.57,
2024-01-13,01:58:09,14.58,3.79,52.727,409,2.3,3.1,1029.5,
2024-01-13,02:03:09,14.58,3.79,52.645,410,3.1,4.0,1029.44,
2024-01-13,02:08:09,14.55,3.79,52.791,409,2.7,3.8,1029.38,
2024-01-13,02:13:09,14.48,3.79,53.174,409,2.8,4.0,1029.36,
2024-01-13,02:18:09,14.42,3.82,53.216,409,2.3,3.2,1029.32,
2024-01-13,02:23:09,14.41,3.82,53.107,410,2.7,4.0,1029.26,
2024-01-13,02:28:09,14.36,3.82,53.526,409,2.3,2.8,1029.24,
2024-01-13,02:33:09,14.33,3.92,53.261,410,2.7,2.9,1029.2,
2024-01-13,02:38:09,14.3,3.88,53.471,410,2.4,3.0,1029.18,
2024-01-13,02:43:09,14.27,3.88,53.585,410,3.1,3.7,1029.13,
2024-01-13,02:48:09,14.21,3.88,53.92100000000001,409,3.4,3.8,1029.11,
2024-01-13,02:53:09,14.14,3.92,53.867,409,3.3,4.4,1029.09,
2024-01-13,02:58:09,14.06,3.92,53.99,409,3.4,3.9,1029.05,
2024-01-13,03:03:09,13.99,3.92,54.128,409,3.4,3.8,1028.97,
2024-01-13,03:08:09,13.92,3.84,54.441,409,3.2,3.9,1028.91,
2024-01-13,03:13:09,13.8,3.85,54.955,409,2.8,3.1,1028.83,
2024-01-13,03:18:09,13.74,3.84,54.791,409,2.4,2.9,1028.79,
2024-01-13,03:23:09,13.68,3.85,55.0,409,2.3,2.6,1028.75,
2024-01-13,03:28:09,13.65,3.85,55.049,409,1.9,3.9,1028.61,
2024-01-13,03:33:09,13.63,3.85,55.073,409,1.6,2.3,1028.55,
2024-01-13,03:38:09,13.61,3.93,54.914,409,1.4,1.8,1028.49,
2024-01-13,03:43:09,13.58,3.96,55.187,409,1.4,2.6,1028.41,
