date,timeStamp,temperature,outside temperature,humidity,co2,pm2.5,pm10,pressure,gasResistance,bsec  breath_voc_equivalent ,bsec  raw_humidity,bsec bsec_status,bsec co2_equivalent,bsec gas,bsec humidity,bsec iaq,bsec iaq_accuracy,bsec pressure,bsec raw_temperature,bsec static_iaq,bsec temperature
2023-06-29,00:01:56,25.5,19.93,53.022,529,10.4,15.0,1017.16,388472.3948422285,13.172526,52.965,0.0,2414.055664,381190.0,53.23775500000001,175.815536,3.0,101715.0,26.530001,241.405579,26.465298
2023-06-29,00:06:56,25.49,19.93,52.992,528,10.0,15.4,1017.11,354675.9387456367,13.899626000000001,52.862999,0.0,2449.599121,378197.0,53.09639,178.824524,3.0,101709.0,26.549999,244.9599,26.485294
2023-06-29,00:11:56,25.48,20.04,52.968999999999994,538,10.4,17.0,1017.09,353329.73028347513,14.592797,52.936001,0.0,2481.793213,375130.0,53.151165,181.614883,3.0,101709.0,26.540001,248.179321,26.475298
2023-06-29,00:16:56,25.56,20.04,52.886,543,10.5,15.4,1017.05,352326.76135189825,14.348814,52.807999,0.0,2470.639404,375130.0,53.062801,181.37208600000002,3.0,101701.0,26.57,247.063934,26.505281
2023-06-29,00:21:56,25.44,20.04,53.291000000000004,537,9.9,15.2,1017.01,351329.4704065724,15.299656,52.981998,0.0,2513.085205,370522.0,53.18811,184.915115,3.0,101699.0,26.51,251.308517,26.445293
2023-06-29,00:26:56,25.56,20.05,52.976000000000006,540,10.1,15.2,1016.91,349024.27019180433,15.428988,52.922001,0.0,2518.653809,368874.0,53.125572,185.859787,3.0,101691.0,26.610001,251.865387,26.545296
2023-06-29,00:31:56,25.56,20.03,52.958,545,10.2,15.1,1016.89,349024.27019180433,15.249427,52.766998,0.0,2510.909668,369696.0,52.982117,185.8573,3.0,101687.0,26.610001,251.090973,26.545298
2023-06-29,00:36:56,25.6,20.03,52.922,541,10.9,17.6,1016.83,350008.49854599376,15.191226,52.838001,0.0,2508.380127,367241.0,53.091793,186.230728,3.0,101679.0,26.610001,250.838013,26.54529
2023-06-29,00:41:56,25.6,20.03,52.773,546,11.0,18.0,1016.77,349351.7306958025,14.71357,52.931999,0.0,2487.245605,369696.0,53.170734,185.279297,3.0,101677.0,26.629999,248.724564,26.565294
2023-06-29,00:46:56,25.51,19.96,53.047,536,10.8,16.4,1016.77,348697.4229958766,15.353007,52.923,0.0,2515.387939,367648.0,53.189678,187.849426,3.0,101679.0,26.469998999999998,251.53880299999997,26.405293
2023-06-29,00:51:56,25.47,19.96,53.093,521,10.8,17.8,1016.81,347072.32661273394,15.442034,52.862999,0.0,2519.212891,367648.0,53.030197,188.674362,3.0,101679.0,26.549999,251.921295,26.485287
2023-06-29,00:56:56,25.39,19.9,53.504,501,11.4,17.3,1016.73,344822.47446547536,16.320202,53.421001000000004,0.0,2555.80249,363619.0,53.653884999999995,191.889496,3.0,101673.0,26.41,255.580246,26.345297
2023-06-29,01:01:56,25.4,19.88,53.351000000000006,502,11.5,17.3,1016.79,343867.1566036112,16.6712,53.214001,0.0,2569.87915,364418.0,53.448742,193.505737,3.0,101673.0,26.440001,256.987915,26.375298
2023-06-29,01:06:56,25.41,-1.6942,53.35,502,11.6,17.6,1016.81,342917.11747020873,16.754969,53.331001,0.0,2573.1948239999997,360459.0,53.588329,194.35699499999998,3.0,101679.0,26.42,257.31948900000003,26.355295
2023-06-29,01:11:56,25.4,19.88,53.468,506,11.6,17.9,1016.75,342917.11747020873,16.816771,53.466999,0.0,2575.630371,360459.0,53.70779,195.138107,3.0,101675.0,26.41,257.56304900000003,26.345295
