date,timeStamp,temperature,outside temperature,humidity,pressure,gasResistance,bsec  breath_voc_equivalent ,bsec  raw_humidity,bsec bsec_status,bsec co2_equivalent,bsec gas,bsec humidity,bsec iaq,bsec iaq_accuracy,bsec pressure,bsec raw_temperature,bsec static_iaq,bsec temperature,co2
2023-04-27,02:08:03,19.53,3.95,39.655,1021.8,1596417.774859651,3.371203,39.654999,0.0,1512.4782710000006,1557992.0,39.810455,160.952209,3.0,102180.0,20.530001000000002,151.247833,20.465284,
2023-04-27,02:13:03,19.51,3.95,39.7,1021.74,1590551.6745430962,3.556455,39.700001,0.0,1547.866699,1551724.0,39.86255300000001,165.246078,3.0,102174.0,20.51,154.786667,20.445295,
2023-04-27,02:18:04,19.48,3.91,39.744,1021.78,1585557.7932245932,3.6584760000000003,39.743999,0.0,1566.576538,1546392.0,39.908916,167.761215,3.0,102178.0,20.48,156.657654,20.415281,
2023-04-27,02:23:04,19.42,3.98,39.868,1021.78,1582245.9241520248,3.633187,39.868,0.0,1561.987549,1542857.0,40.042633,167.758713,3.0,102178.0,20.42,156.19876100000005,20.35528,
2023-04-27,02:28:05,19.38,3.86,39.863,1021.76,1591387.0480725272,3.6547739999999997,39.862999,0.0,1565.9067380000001,1552616.0,40.02227,168.689438,3.0,102176.0,20.379998999999998,156.590668,20.315292000000003,
2023-04-27,02:33:05,19.35,3.75,40.001,1021.7,1588050.8078764558,3.571664,40.000999,0.0,1550.689697,1549053.0,40.169918,167.525574,3.0,102170.0,20.35,155.06897,20.28528,
2023-04-27,02:38:05,19.24,3.66,40.205,1021.68,1581420.1175500653,3.5954129999999997,40.205002,0.0,1555.0738529999999,1541976.0,40.382233,168.506195,3.0,102168.0,20.24,155.507385,20.175287,
2023-04-27,02:43:06,19.24,3.66,40.139,1021.59,1583900.1274446468,3.603425,40.139,0.0,1556.546387,1544622.0,40.29045900000001,169.173172,3.0,102159.0,20.24,155.65463300000005,20.175285,
2023-04-27,02:48:06,19.26,3.66,40.121,1021.57,1565891.9660217282,3.7792980000000003,40.120998,0.0,1588.070679,1525424.0,40.266209,173.165054,3.0,102157.0,20.26,158.807068,20.195282000000002,
2023-04-27,02:53:06,19.2,3.67,40.215,1021.6,1597259.3232521347,3.590032,40.215,0.0,1554.083008,1558891.0,40.399857,169.891006,3.0,102160.0,20.200001,155.40829499999995,20.135283,
2023-04-27,02:58:07,19.19,3.62,40.151,1021.59,1556240.8628441268,3.9977980000000004,40.151001,0.0,1625.252441,1515152.0,40.321964,178.308334,3.0,102159.0,20.190001000000002,162.525238,20.125282000000002,
2023-04-27,03:03:07,19.11,3.39,40.385999999999996,1021.64,1551459.7863858722,4.102754,40.38600200000001,0.0,1642.395752,1510067.0,40.546154,180.769241,3.0,102164.0,20.110001,164.239578,20.045282,
2023-04-27,03:08:08,19.07,3.39,40.435,1021.57,1550665.79492701,4.277618,40.435001,0.0,1670.006592,1509223.0,40.600441,184.42851299999998,3.0,102157.0,20.07,167.000656,20.005297,
2023-04-27,03:13:08,19.07,3.3,40.51300000000001,1021.49,1539634.6392026085,4.399885,40.51300000000001,0.0,1688.6500239999998,1497504.0,40.704884,187.103775,3.0,102149.0,20.07,168.865005,20.005281,
2023-04-27,03:18:08,19.11,3.3,40.363,1021.47,1425212.1773061291,4.361579,40.362999,0.0,1682.8654789999994,1503341.0,40.512417,187.027802,3.0,102147.0,20.110001,168.286545,20.045298000000006,
2023-04-27,03:23:09,19.03,3.25,40.412,1021.37,1540417.37136483,4.3655599999999986,40.411999,0.0,1683.468994,1498335.0,40.597076,187.664398,3.0,102137.0,20.030001,168.346893,19.965296,
2023-04-27,03:28:09,18.99,3.15,40.583,1021.35,1423872.6926085881,4.4207730000000005,40.583,0.0,1691.7832030000006,1501669.0,40.728302,189.16194199999998,3.0,102135.0,19.99,169.178314,19.925279999999997,
2023-04-27,03:33:09,18.94,3.16,40.613,1021.35,1426554.184573795,4.375397,40.612999,0.0,1684.957886,1505017.0,40.801857,188.936813,3.0,102135.0,19.940001,168.495789,19.875282,
2023-04-27,03:38:10,18.91,3.18,40.62300000000001,1021.33,1422535.723375339,4.3986339999999995,40.623001,0.0,1688.461914,1500000.0,40.782619,189.898865,3.0,102133.0,19.91,168.846191,19.845295,
2023-04-27,03:43:10,18.83,3.18,40.696,1021.33,1425212.1773061291,4.364719999999998,40.698002,0.0,1683.3415530000002,1503341.0,40.884235,189.869843,3.0,102133.0,19.83,168.334152,19.765295,
2023-04-27,03:48:10,18.88,3.13,40.65,1021.31,1417212.8598992475,4.368447,40.650002,0.0,1683.90625,1493363.0,40.829227,190.496796,3.0,102131.0,19.879998999999998,168.390625,19.815289,
2023-04-27,03:53:11,18.81,3.1,40.792,1021.27,1546707.9967670215,4.275757,40.792,0.0,1669.71875,1505017.0,40.950974,189.419571,3.0,102127.0,19.809999,166.971878,19.745291,
2023-04-27,03:58:11,18.81,3.1,40.839,1021.29,1539634.6392026085,4.287042,40.839001,0.0,1671.4624019999999,1497504.0,40.977375,190.186295,3.0,102129.0,19.809998999999998,167.14623999999995,19.745295000000002,
2023-04-27,04:03:11,18.77,3.05,40.954,1021.19,1423872.6926085881,4.135983,40.953999,0.0,1647.731934,1501669.0,41.136742,187.989639,3.0,102119.0,19.77,164.773193,19.705286,
