summoner_name,played_with,won_with,played_against,lost_against,last_played,date
Astocan,1.0,1,0,0,Nautilus,0
AryzeTB,1.0,1,0,0,Amumu,20-3-2022 15:16
AkveDook,1.0,1,0,0,Bard,19-5-2023 22:32
Absynthe666,1.0,1,0,0,Lux,0
6Q Smeb,1.0,1,0,0,Jinx,20-3-2022 15:16
Ä M Ä Z I N G,1.0,0,0,0,Soraka,20-3-2022 15:16
vaał,1.0,0,0,0,Seraphine,19-5-2023 22:32
ruman3,1.0,0,0,0,Elise,19-5-2023 22:32
pawded,1.0,0,0,0,Jax,20-3-2022 15:17
no0Loss,1.0,0,0,0,Twitch,19-5-2023 22:32
nackhss,1.0,0,0,0,MonkeyKing,19-5-2023 22:32
mr triple m3,1.0,0,0,0,Yuumi,0
linkCCLV,1.0,0,0,0,Ashe,20-3-2022 15:16
kingkryko,1.0,0,0,0,Ezreal,19-5-2023 22:33
impreg the keg,1.0,0,0,0,Gangplank,0
illsugimoto,1.0,0,0,0,Velkoz,20-3-2022 15:16
ill mind yummmi,1.0,0,1,0,Pantheon,20-3-2022 15:16
halsheron,1.0,0,0,0,Kassadin,0
edlegazz88HH,1.0,0,0,0,Quinn,20-3-2022 15:16
dinazel,1.0,0,0,0,Nidalee,0
crom,1.0,0,0,0,Urgot,0
asdfghjklöä,1.0,0,0,0,Nasus,20-3-2022 15:17
arograming,1.0,0,0,0,Thresh,19-5-2023 22:33
Zekaikai,1.0,0,0,0,Nautilus,0
YukijiKirin,1.0,0,0,0,Chogath,19-5-2023 22:32
XZZOS,1.0,0,0,0,Zoe,0
WOYAODAZHIYE,1.0,0,0,0,Yone,0
VN Clarent,1.0,0,0,0,Leona,20-3-2022 15:16
Uncle Nico,1.0,0,0,0,Lux,20-3-2022 15:16
Tulum,1.0,0,0,0,Nidalee,19-5-2023 22:33
Thoxic,1.0,0,0,0,Kalista,19-5-2023 22:32
The Swagger,1.0,0,0,0,Malzahar,0
T2Watch,1.0,0,0,0,Malphite,0
Smyters,1.0,0,0,0,Nami,20-3-2022 15:16
SiOH4,1.0,0,0,0,Thresh,20-3-2022 15:16
ShikaShika,1.0,0,0,0,Darius,19-5-2023 22:32
Sh4imaa,1.0,0,0,0,Thresh,20-3-2022 15:15
Seth van Graaf,1.0,0,0,0,Twitch,0
SeSeiForteS4li,1.0,0,0,0,Lissandra,19-5-2023 22:33
Samoel DK,1.0,0,0,0,Twitch,19-5-2023 22:33
Reshishadowdream,1.0,0,0,0,Kaisa,19-5-2023 22:33
Reflected,1.0,0,0,0,Jinx,19-5-2023 22:33
Paola la Coquine,1.0,0,0,0,Senna,20-3-2022 15:17
PakyD,1.0,0,0,0,Morgana,0
Otaï,1.0,0,0,0,AurelionSol,20-3-2022 15:17
NooBaaD,1.0,0,0,0,Syndra,0
No Zuo N0 Die,1.0,0,0,0,Tryndamere,4-8-2022 22:8
MummyMilkies69,1.0,0,0,0,Varus,4-8-2022 22:8
Mr00Yellow,1.0,0,0,0,Cassiopeia,0
Minoru Mineta,1.0,0,0,0,Blitzcrank,20-3-2022 15:15
Migrat0r,1.0,0,0,0,Anivia,0
Midzuri,1.0,0,0,0,AurelionSol,19-5-2023 22:32
MentalityIsKing,1.0,0,0,0,Nunu,19-5-2023 22:32
MIZIHA,1.0,0,0,0,Vayne,19-5-2023 22:32
Lyrad89,1.0,0,0,0,Jayce,20-3-2022 15:16
LaplacePT,1.0,0,0,0,Poppy,19-5-2023 22:32
LOLSUGERRÖV,1.0,0,0,0,Shyvana,20-3-2022 15:17
